"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Date exited ""Proposal Sent (HOW3)""","hs_v2_date_exited_1017383459","datetime","The date and time when the deal exited the 'Proposal Sent' stage, 'HOW3' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Contract Signed (HOW3)""","hs_v2_date_exited_1017383460","datetime","The date and time when the deal exited the 'Contract Signed' stage, 'HOW3' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Contract Sent (HOW3)""","hs_v2_date_exited_1017383461","datetime","The date and time when the deal exited the 'Contract Sent' stage, 'HOW3' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Closed Lost (HOW3)""","hs_v2_date_exited_1017462692","datetime","The date and time when the deal exited the 'Closed Lost' stage, 'HOW3' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Paid (HOW3)""","hs_v2_date_exited_1018739339","datetime","The date and time when the deal exited the 'Paid' stage, 'HOW3' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Hold (Studio User)""","hs_v2_date_exited_1050698117","datetime","The date and time when the deal exited the 'Hold' stage, 'Studio User' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Date exited ""Reached Out (BD) (Chain Integration)""","hs_v2_date_exited_135954722","datetime","The date and time when the deal exited the 'Reached Out (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.12%","",""
"Date exited ""Discovery Complete (BD) (Chain Integration)""","hs_v2_date_exited_135954723","datetime","The date and time when the deal exited the 'Discovery Complete (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.1%","",""
"Date exited ""Negotiating (BD) (Chain Integration)""","hs_v2_date_exited_135954724","datetime","The date and time when the deal exited the 'Negotiating (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.07%","",""
"Date exited ""Proposal Sent (BD) (Chain Integration)""","hs_v2_date_exited_135954725","datetime","The date and time when the deal exited the 'Proposal Sent (BD)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.1%","",""
"Date exited ""Signed (Legal) (Chain Integration)""","hs_v2_date_exited_135954726","datetime","The date and time when the deal exited the 'Signed (Legal)' stage, 'Chain Integration' pipeline","dealstages","false","","true","true","false","false","false","true","HubSpot","","0.07%","",""
