"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Number of Pageviews","hs_analytics_num_page_views","number","Total number of page views this contact has had on your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Number of Sessions","hs_analytics_num_visits","number","Number of times a contact has come to your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Event Revenue","hs_analytics_revenue","number","Set event revenue on a contact though the Enterprise Events feature. http://help.hubspot.com/articles/KCS_Article/Reports/How-do-I-create-Events-in-HubSpot","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Original Traffic Source","hs_analytics_source","enumeration","First known source the contact used to find your website. Set automatically, but may be updated manually.","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL)","false","true","false","false","false","true","HubSpot","","100%","",""
"Original Traffic Source Drill-Down 1","hs_analytics_source_data_1","string","Additional information about the source the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Original Traffic Source Drill-Down 2","hs_analytics_source_data_2","string","Additional information about the source the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","99.97%","",""
"Latest Traffic Source","hs_latest_source","enumeration","The source of the latest session for a contact","analyticsinformation","false","Organic Search (ORGANIC_SEARCH); Paid Search (PAID_SEARCH); Email Marketing (EMAIL_MARKETING); Organic Social (SOCIAL_MEDIA); Referrals (REFERRALS); Other Campaigns (OTHER_CAMPAIGNS); Direct Traffic (DIRECT_TRAFFIC); Offline Sources (OFFLINE); Paid Social (PAID_SOCIAL)","false","true","false","false","false","true","HubSpot","","100%","",""
"Latest Traffic Source Drill-Down 1","hs_latest_source_data_1","string","Additional information about the latest source for the last session the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Latest Traffic Source Drill-Down 2","hs_latest_source_data_2","string","Additional information about the source for the last session the contact used to find your website. Set automatically.","analyticsinformation","false","","true","true","false","false","false","true","HubSpot","","99.96%","",""
"Latest Traffic Source Date","hs_latest_source_timestamp","datetime","The time of the latest session for a contact","analyticsinformation","false","","false","true","false","false","false","true","HubSpot","","100%","",""
"Currently in workflow (discontinued)","currentlyinworkflow","enumeration","True when contact is enrolled in a workflow.","contact_activity","false","True (true); False (false)","true","true","false","false","false","true","HubSpot","","74.77%","",""
"Date of last meeting booked in meetings tool","engagements_last_meeting_booked","datetime","The date of the last meeting that has been scheduled by a contact through the meetings tool. If multiple meetings have been scheduled, the date of the last chronological meeting in the timeline is shown.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Campaign of last booking in meetings tool","engagements_last_meeting_booked_campaign","string","UTM parameter for marketing campaign (e.g. a specific email) responsible for recent meeting booking. Only populated when tracking parameters are included in meeting link.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Medium of last booking in meetings tool","engagements_last_meeting_booked_medium","string","UTM parameter for the channel (e.g. email)  responsible for most recent meeting booking. Only populated when tracking parameters are included in meeting link.","contact_activity","false","","true","true","false","false","false","true","HubSpot","","0%","",""
