"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","Hubspot defined","Created user","Usages","Fill rate","Last Updated Time","Update Source"
"Invoice status details","hs_invoice_status_details","enumeration","Additional invoice status details.","invoiceinformation","false","Partially Paid (partially_paid); Partially Refunded (partially_refunded); Refunded (refunded); Payment Processing (payment_processing)","true","true","false","false","false","true","HubSpot","","0%","",""
"Invoice Tool Source","hs_invoice_tool_source","enumeration","The tool that was used to create the invoice.","invoiceinformation","false","Invoice Editor (invoice_editor); Payment Link (payment_link); Quote (quote); Subscription (subscription)","true","true","false","false","false","true","HubSpot","","100%","",""
"Invoice Tool Source ID","hs_invoice_tool_source_id","string","The ID of the tool used to create the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","60.34%","",""
"Language","hs_language","string","Language of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","100%","",""
"Last reminder sent date","hs_last_reminder_sent_date","datetime","The last time an email reminder was sent to the customer. This is automatically updated by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Last sent date","hs_last_sent_date","datetime","The last time the invoice was sent to the customer. This is updated automatically by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","89.66%","",""
"Locale","hs_locale","string","Locale of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","100%","",""
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","invoiceinformation","false","","true","true","false","true","false","true","HubSpot","","0%","",""
"net payment term","hs_net_payment_term","number","Refers to the period, expressed in days (e.g., Net 30), within which invoice must be paid","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Number","hs_number","string","The 3rd party number associated to this invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1); Sales view (2)","100%","",""
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Record source","hs_object_source_label","enumeration","How this record was created.","invoiceinformation","false","","true","true","false","true","false","true","HubSpot","","100%","",""
"Payment date","hs_payment_date","datetime","The date when payment of an invoice has fully completed.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Report (1); Sales view (2); Data sync filter property (1)","65.52%","",""
"PDF download link","hs_pdf_download_link","string","The link to download the pdf of this Invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","91.38%","",""
"PO number","hs_purchase_order_number","string","Purchase order number of the invoice","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Received by recipient date (QuickBooks Online)","hs_received_by_recipient_date","datetime","The date the invoice was received by the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient company street address","hs_recipient_company_address","string","The address of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","82.76%","",""
"Recipient company street address 2","hs_recipient_company_address2","string","Additional address of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","56.9%","",""
"Recipient company city","hs_recipient_company_city","string","The city of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","43.1%","",""
"Recipient company country","hs_recipient_company_country","string","The country of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","87.93%","",""
"Recipient company state/region","hs_recipient_company_state","string","The state or region of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","44.83%","",""
"Recipient company postal code","hs_recipient_company_zip","string","The postal or zip code of the recipient's company or organization.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","Data sync mapping (1)","63.79%","",""
"Recipient shipping street address","hs_recipient_shipping_address","string","The shipping address of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping street address 2","hs_recipient_shipping_address2","string","Additional shipping address of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping city","hs_recipient_shipping_city","string","The shipping city of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping country","hs_recipient_shipping_country","string","The shipping country of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping name","hs_recipient_shipping_name","string","The shipping name of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping state/region","hs_recipient_shipping_state","string","The shipping state or region of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Recipient shipping postal code","hs_recipient_shipping_zip","string","The shipping postal or zip code of the recipient.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"External Invoice Status","hs_status","enumeration","The external status of the current invoice. This value is retrieved from a third party and may not be modified","invoiceinformation","false","Waiting to be sent (INVOICE_WAITING_TO_BE_SENT); Sent to customer (INVOICE_SENT); Partial payment made (INVOICE_PAYMENT_MADE); Fully paid (INVOICE_FULLY_PAID); Overdue (INVOICE_OVERDUE); Voided (INVOICE_VOIDED)","true","true","false","false","false","true","HubSpot","Sales view (2)","0%","",""
"Store payment method at checkout","hs_store_payment_method_at_checkout","bool","Allow customers to store their payment method at checkout.","invoiceinformation","false","Yes (true); No (false)","false","true","false","false","false","true","HubSpot","","56.9%","",""
"Subtotal","hs_subtotal","number","The sum of all line items of the invoice including line item level taxes.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","100%","",""
"Tax ID","hs_tax_id","enumeration","The account tax ID listed on this invoice. The tax ID includes a tax ID type and a tax ID number.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","93.1%","",""
"Taxes total","hs_taxes_total","number","The sum of all taxes applied to the invoice.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","Data sync mapping (1)","100%","",""
"Time zone","hs_timezone","string"," The time zone of dates on the invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","100%","",""
"Title","hs_title","string","Title of the Invoice.","invoiceinformation","false","","false","true","false","false","false","true","HubSpot","","0%","",""
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","invoiceinformation","false","","true","true","false","false","false","true","HubSpot","","0%","",""
"Owner","hubspot_owner_id","enumeration","The owner of the object.","invoiceinformation","false","","false","true","false","true","false","true","HubSpot","Sales view (2)","43.1%","",""
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","invoiceinformation","false","","true","true","false","true","false","true","HubSpot","","43.1%","",""
"Payment Token","payment_token","string","The token abbreviation e.g USDC ","transaction_information","false","","false","false","false","false","false","false","Edge Node","Sales view (2)","0%","",""
"Transaction Hash Link","transaction_hash_link","string","Link to the transaction in a block explorer like Etherscan or Arbiscan.","transaction_information","false","","false","false","false","false","false","false","Christina Mills","Sales view (2)","1.72%","",""
"Unit Price of Token at Transaction Time","unit_price_of_token_at_transaction_time","number","The calculated unit price of a non-standard token (anything other than USDC) at the time of the transaction.","transaction_information","true","","false","false","false","false","false","false","Edge Node","Sales view (2)","0%","",""
